autor,title,source,issue,year,session,keywords,abstract,id,link,
"ASSUMPçãO, Fabrício Silva; SANTOS, Plácida Leopoldina Ventura Amorim da Costa","A utilização do Resource Description and Access (RDA) na criação de registros de autoridade para pessoas, famílias e entidades coletivas@pt-BR","Encontros Bibli: Revista Eletrônica de Biblioteconomia e Ciência da Informação","n. 37, v. 18, p. 203-226","2013","Artigo</a>","1 ciencia da informacao; Biblioteconomia; Controle de autoridade; Functional requirements for bibliographic records (frbr); Functional requirements for authority data (frad); Catalogacao descritiva; Informacao e tecnologia; Resource description and access (rda); Cataloguing; Bibliographic control; Information science; Library science; Authority control; Descriptive cataloging; Information and technology","http://dx.doi.org/10.5007/1518-2924.2013v18n37p203 Considerando o desenvolvimento do Resource Description and Access (RDA) e a importância do controle de autoridade para os catálogos, objetiva apresentar o RDA, seu surgimento e desenvolvimento, contextualizar a criação de registros de autoridade na catalogação descritiva e apresentar a utilização do RDA no registro dos atributos e relacionamentos das entidades pessoa, família e entidade coletiva. Apresenta o RDA, sua relação com os modelos conceituais FRBR e FRAD, as seções, capítulos, atributos e relacionamentos definidos para pessoas, famílias e entidades coletivas. Por fim destaca algumas diferenças entre o RDA e o AACR2r e apresenta considerações sobre a implantação do RDA.@pt-BR Considering the development of Resource Description and Access (RDA) and the importance of authority control for catalogs, this paper aims to present the RDA and its origin and development, to contextualize the creation of authority records in descriptive cataloging and to present the use of RDA in recording of attributes and relationships of person, family and corporate body entities. It also presents the RDA and its relation with FRBR and FRAD conceptual models and the sections, chapters, attributes and relationships defined for persons, families and corporate bodies. Lastly, this paper highlights some differences between RDA and AACR2r and gives some considerations about the RDA implantation.@en ","39488","https://brapci.inf.br/index.php/res/v/39488","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/52343"
"HOLANDA, Paulo Marcelo Carvalho; LOURENçO, Cíntia Azevedo","Preparação para implementação da RDA: percepção dos catalogadores da Universidade Federal de Minas Gerais@pt-BR","Múltiplos Olhares em Ciência da Informação","n. forped-ppggoc - 2021","2021","Artigo</a>","Implementacao do rda; Resource description and access; Estrategia de implementacao; Catalogacao; Catalogador; Implementation of the rda; Implementation strategies; Cataloguing; Catalogers","Este artigo apresenta parte dos resultados de uma dissertação sobre a implementação do RDA. O RDA é o código de catalogação já utilizada por várias bibliotecas de outros países. A preparação para a sua implementação perpassa pela percepção dos catalogares para que se construam subsídios, e sejam criadas estratégias para a sua implementação. O artigo tem como objetivo apontar algumas das principais estratégias internacionais de implementação do RDA, iniciadas e adotadas, por outros países; averiguar a conscientização e o conhecimento dos catalogadores diante de tópicos relacionados à implementação do RDA; bem como, apontar os pontos fortes e fracos destas percepções. A metodologia tem características exploratórias, descritivas e de abordagem da investigação quantitativa e qualitativa. Utilizou-se como técnica de coleta de dados a pesquisa bibliográfica e as entrevistas (semiestruturada) em torno do bloco temático: Preparação para a implementação do RDA referente às questões de pretensão por parte das bibliotecas para a implementação do RDA, grupo de discussão, exemplos de registros em RDA, atualização do software para acomodar o RDA, acesso ao RDA Toolkit e pessoal envolvido das bibliotecas para a implementação, sendo que para análise dos dados, a metodologia de análise de conteúdo. Os resultados apontam para uma menor conscientização dos catalogadores sobre o quadro temático. Conclui-se que existe pretensão e preparação do Sistema de bibliotecas para a implementação mais ainda com pouca eficácia.&nbsp;&nbsp;&nbsp;@pt-BR This article presents part of the results of a dissertation on the implementation of the RDA. The RDA is the cataloging code already used by several libraries in other countries. The preparation for its implementation permeates the perception of cataloguers so that subsidies are built, and strategies are created for their implementation. The article aims to point out some of the main international strategies for implementing the RDA, initiated and adopted by other countries; verify the awareness and knowledge of cataloguers on topics related to the implementation of the RDA; as well as pointing out the strengths and weaknesses of these perceptions. The methodology has exploratory, descriptive and quantitative and qualitative research approach characteristics. Bibliographic research and interviews (semi-structured) around the thematic block were used as data collection technique: Preparation for the implementation of the RDA regarding the issues of pretension by libraries for the implementation of the RDA, discussion group, examples of records in RDA, software update to accommodate the RDA, access to the RDA Toolkit and staff involved from the libraries for the implementation, and for data analysis, the content analysis methodology. The results point to a lower awareness of cataloguers about the thematic framework. It is concluded that there is a pretension and preparation of the Library System for its implementation, even more with little efficiency.@en ","170985","https://brapci.inf.br/index.php/res/v/170985",""
"HOLANDA, Paulo Marcelo Carvalho; LOURENçO, Cíntia Azevedo","Narrativas sobre a RDA: impressões dos catalogadores da UFMG@pt-BR","Revista Ibero-Americana de Ciência da Informação","v. 14, p. 866-886","2021","Artigo</a>","Resource descripton and access; Rda; Aacr-2; Codigo de catalogacao anglo-americano; Descripcion y recursos de acceso; Catalogacion; Cataloguing; Description and access resources","Este artigo apresenta parte dos resultados de uma dissertação de mestrado com o objetivo de entender como os catalogadores das bibliotecas da UFMG percebem à RDA. É apresentada a fundamentação teórica e seu esboço para contrução do bloco temático sobre a Impressão geral da norma RDA, as categorias e subcategorias criadas, as narrativas e impressões dos catalogadores, tendo objetivos exploratórios, descritivos, qualitativos, bibliográficos, utilizando a entrevista semiestruturada e a análise de conteúdo. Os resultados apontam a limitação de entendimento de descrição de recursos da AACR2 em relação à RDA, limitação de entendimento da continuação da AACR2 com a RDA, pouco conhecimento dos grupos FRBR e da correspondência de dados RDA com outros esquemas de codificação. Esta pesquisa possibilitou entender como os catalogadores das bibliotecas da UFMG estão percebendo alguns aspectos da norma RDA, sendo necessário o conhecimento das regras, a necessidade de aprendizagem, estudo continuado da norma e sua demonstração prática.@pt-BR Este artículo presenta parte de los resultados de una tesis de maestría con el objetivo de comprender cómo los catalogadores de las bibliotecas de la UFMG perciben la RDA. El fundamento teórico y su esquema para la construcción del bloque temático sobre la Impresión General del estándar RDA, las categorías y subcategorías creadas, las narrativas e impresiones de los catalogadores, con objetivos exploratorios, descriptivos, cualitativos, bibliográficos, utilizando la semi- entrevista estructurada y análisis de contenido. Los resultados apuntan a la comprensión limitada de la descripción del recurso AACR2 en relación con la RDA, la comprensión limitada de la continuación de la AACR2 con la RDA, el escaso conocimiento de los grupos FRBR y la correspondencia de los datos RDA con otros esquemas de codificación. Esta investigación permitió comprender cómo los catalogadores de las bibliotecas de la UFMG están percibiendo algunos aspectos del estándar RDA, requiriendo el conocimiento de las reglas, la necesidad de aprendizaje y estudio continuo del estándar y su demostración práctica.@es-ES This article presents part of the results of a master´s thesis with the aim of understanding how catalogers from UFMG libraries perceive the RDA. The theoretical foundation and its outline for the construction of the thematic block on the General Impression of the RDA standard, the categories and subcategories created, the narratives and impressions of the cataloguers, with exploratory, descriptive, qualitative, bibliographic objectives, using the semi-structured interview and the content analysis. The results point to the limited understanding of the AACR2 resource description in relation to the RDA, the limited understanding of the continuation of the AACR2 with the RDA, little knowledge of the FRBR groups and the correspondence of RDA data with other coding schemes. This research made it possible to understand how catalogers from UFMG libraries are perceiving some aspects of the RDA standard, requiring knowledge of the rules, the need for learning and continued study of the standard and its practical demonstration.@en ","165028","https://brapci.inf.br/index.php/res/v/165028","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/166566"
"SILVA, Luciana Candida; SEGUNDO, José Eduardo SANTARÉM; ZAFALON, Zaira Regina; SANTOS, Plácida Leopoldina Ventura Amorim da Costa","O código RDA e a iniciativa BIBFRAME: tendências da representação da informação no domínio bibliográfico@pt-BR","Em Questão","n. 3, v. 23, p. 130-156","2017","Artigo</a>","1 ciencia da informacao; Principio da catalogacao; Codigo de catalogacao; Formato marc 21.; Resource description and access (rda); Bibliographic framework initiative (bibframe); Principles of cataloging; Cataloging codes; Marc 21 format","São apresentados o código de catalogação RDA e a iniciativa BIBFRAME à luz dos princípios gerais da catalogação. Para tanto, realizou-se uma pesquisa bibliográfica descritiva sobre os princípios gerais da catalogação, em que foram destacados os mais importantes teóricos e os principais fatos que influenciaram o desenvolvimento dos princípios da catalogação e do código RDA, bem como da iniciativa BIBFRAME. Descreve-se o código RDA a partir de sua proposta, características e desenvolvimento, sua utilização com o Formato MARC 21 e faz-se uma comparação entre os códigos RDA e AACR2r. Em seguida, a iniciativa BIBFRAME é descrita em seus dois segmentos: modelo e vocabulário. Por fim, acredita-se que as iniciativas RDA e BIBFRAME serão assumidas ao longo do tempo como base para a descrição de recursos no ambiente web.@pt-BR This paper presents the RDA cataloging code and the BIBFRAME initiative as trends for the future of bibliographic description on the web. Therefore, descriptive bibliographical research was carried out on the general principles of cataloging, highlighting the theoretical major and facts that influenced the development of the principles of cataloging, the RDA code and the BIBFRAME initiative. It describes the RDA code, from its evolution and terminology and outlines relations on the use of RDA with MARC 21 format from comparisons with AACR2R. It then describes the BIBFRAME initiative in its two segments: model and vocabulary. Finally, it considers that the RDA and BIBFRAME trends over time will be taken as the basis for resource description in the web environment.@en ","11927","https://brapci.inf.br/index.php/res/v/11927","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/47456"
"UBIERNA, Angela Quiroz","Implementación de las RDA en Chile: pasado, presente y futuro.@es-ES","Palabra Clave (Argentina)","n. 2, v. 6 No 2","2017","Dossier: Gestión de la Información: Dilema Y Perspectiva</a>","","En el año 2010, al darse a conocer las nuevas reglas de catalogación ?Recursos, Descripción y Acceso?, a través del lanzamiento del RDA Toolkit, en las bibliotecas chilenas, especialmente en la Biblioteca Nacional de Chile y en la Biblioteca del Congreso Nacional de Chile, un grupo de bibliotecarios decidió comenzar a estudiarlas, ya que sólo se habían publicado en idioma inglés. Por lo anterior se creó el ?Grupo de Interés RDA Chile? (GIRCH), en el cual participaron bibliotecarios de distintas instituciones. Este grupo comenzó a funcionar en 2010 y se realizaron distintas capacitaciones, en primer lugar para dar a conocer las RDA y los modelos conceptuales relacionados: FRBR, FRAD y FRSAD, y además para comenzar la aplicación de estas nuevas normas a nivel nacional. Sin embargo, con el pasar de los años, el grupo GIRCH cesó sus funciones (año 2014), con lo que el tema de la aplicación de las RDA quedó estancado a nivel país y se empezó a trabajar de manera local en cada biblioteca interesada en aplicar este estándar. Cuando apareció el RDA Toolkit, algunas bibliotecas chilenas se suscribieron este recurso; no obstante, se siguió trabajando de manera aislada, sin estudiar las nuevas normas, ni la herramienta en conjunto, lo que llevó a un nivel diferente de uso y aplicación de las RDA en cada biblioteca que decidió implementarlas.No obstante lo anterior, en este documento se revisará la experiencia desarrollada por la Biblioteca del Congreso Nacional (BCN), la que a partir de agosto de 2012 generó un proyecto de implementación del modelo de catalogación RDA, tanto en los registros bibliográficos como en los de autoridad; así como el caso del Sistema de Bibliotecas de la Universidad de Concepción, que en el año 2014 decidieron también aplicar RDA en todos sus registros bibliográficos y en 2015 en sus registros de autoridad. Además, se darán a conocer otros casos en los que se ha decidido implementar las RDA de manera paulatina, de manera híbrida (mezcla de la RCAA2 y RDA). Finalmente, se darán a conocer las actividades que se están realizando hoy en día en relación a las RDA, como es el caso de las capacitaciones ofrecidas por la Biblioteca del Congreso Nacional de Chile a bibliotecarios de otras instituciones del país, además de la participación en IFLA sobre el tema de RDA y los proyectos a futuro relacionados con la continuación de las capacitaciones y el estudio del nuevo modelo FRBR-LRM y el formato Bibframe.@es-ES In the year 2010, when the new cataloguing rules ?Resources, Description, and Access? (RDA) were announced through the RDA Toolkit launch, in Chilean libraries, especially in the National Library of Chile and in the National Congress of Chile Library, a group of librarians decided to start studying the RDAs, since they had only been published in English. Due to this fact, the Grupo de Interest RDA Chile (GIRCH)? [Chile Interest Group on RDA] was created, in which librarians from different institutions collaborated. This group began in 2010 the study of this standard, and different trainings were provided, firstly, to understand RDA and the related conceptual models: FRBR, FRAD, and FRSAD, but also, to start with the implementation of these new standards nationwide. Nevertheless, as the years went by, the GIRCH ceased its activities (2013), bringing that the RDA implementation at country level was stagnated, although some interested libraries in applying this standard began to work locally. When RDA Toolkit appeared, some Chilean libraries subscribed to it; however, they continued working isolatedly, without studying the new regulations or the tools as a national group, which lead to a different level of use and application of RDA in every library that decided its implementation. Nevertheless the above mentioned, this document will review the experience developed by the National Congress of Chile Library (BCN), which as of august 2012, generated a project to implement the RDA cataloging model, both in bibliographic records and in authority records. Likewise, the case of the Library System of the University of Concepción, which in 2014 also decided to apply RDA in all its bibliographic records, and a year later in its authority records, will be reviewed. Additionally, other cases in which it has been decided to implement the RDA gradually, in a hybrid way (mix of RCAA2 and RDA), will be approached. Finally, some activities being carried out today in relation to the RDA will be mentioned, as is the case of the training offered by the National Congress of Chile Library to librarians from other institutions of the country, besides the participation in IFLA on the subject of RDA, and future projects related to the training continuation, and the study of the new FRBR-LRM model and the BIBFRAME format.@en ","64411","https://brapci.inf.br/index.php/res/v/64411","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/79558"
"LOURENçO, Cíntia Azevedo; DIAS, Célia da Consolação; LIMA, Gercina Ângela Borém de Oliveira; MACULAN, Benildes Coura Moreira dos Santos; AGANETTE, Elisângela Cristina; LOURENçO, Cíntia de Azevedo; DIAS, Célia da Consolação; LIMA, Gercina Ângela de; MACULAN, Benildes Coura Moreira dos Santos; AGANETTE, Elisângela Cristina","Os Desafios do ensino de RDA em cursos de Biblioteconomia: relato de experiência de ensino na UFMG@pt-BR","Revista Brasileira de Educação em Ciência da Informação","n. 2, v. 7, p. 69-88","2020","Relato de Experiência</a>","Ensino de biblioteconomia; Catalogacao; Ensino de rda; Ensenando bibliotecaria; Catalogacion; Ensenanza de la rda; Library education; Cataloging; Rda teaching","A adoção da norma RDA pelas bibliotecas brasileiras é uma realidade que demanda por reflexões e por compartilhamento das experiências. Nesse sentido o ensino da RDA nos cursos de Biblioteconomia é uma prioridade para preparar os futuros profissionais para essa transição e para a sua implementação, mas também se apresenta como um desafio. Nesse trabalho, será relatada a experiência do curso de Biblioteconomia de uma universidade brasileira na oferta de uma disciplina de introdução à RDA, planejada e implementada a partir das propostas presentes no manual para ensino de RDA de Margaret Mering, publicado em língua inglesa. O objetivo é compartilhar a experiência docente, os resultados obtidos e as dificuldades encontradas. Os pontos positivos do manual, as dificuldades de adequação da tradução, as atividades mais interessantes e desafiadoras e a metodologia serão destacadas. As considerações finais destacam as limitações identificadas neste estudo e faz a proposta de reflexões acerca da implementação da RDA. Além disso, será demonstrado também que, para o ensino, a assinatura não será uma obrigatoriedade, o que desonera os cursos de Biblioteconomia desse investimento.@pt-BR La adopción del estándar de la RDA por parte de las bibliotecas brasileñas es una realidad que exige reflexiones e intercambio de experiencias. En este sentido, la enseñanza de la RDA en los cursos de biblioteca es una prioridad para preparar a los futuros profesionales para esta transición y su implementación, pero también se presenta como un reto. En este trabajo, informaremos de la experiencia del curso de bibliotecaria de una universidad brasileña que ofrece un tema de introducción a la RDA, planificado e implementado a partir de las propuestas presentes en el manual de margaret mering para la enseñanza de la RDA, publicado en inglés. El objetivo es compartir la experiencia docente, los resultados obtenidos y las dificultades encontradas. Destacan los puntos positivos del manual, las dificultades de adaptación de la traducción, las actividades más interesantes y desafiantes y la metodología. Las consideraciones finales ponen de relieve las limitaciones identificadas en este estudio y proponen reflexiones sobre la aplicación de la RDA. Además, también se demostrará que para la enseñanza de la firma no será obligatorio, lo que deshonra los cursos de bibliotecario de esta inversión.@es-ES &nbsp;The adoption of the RDA standard by Brazilian libraries is a reality that demands reflection and sharing of experiences. In this sense, the teaching of the RDA in librarianship courses is a priority to prepare future professionals for this transition and its implementation, but it also presents itself as a challenge. In this work, the experience of the librarianship course of a Brazilian university will be reported on the offer of a course to be introduced to the RDA, planned and implemented from the proposals presented in Margareth Mering´s RDA teaching manual, published in English. The objective is to share the teaching experience, the results obtained and the difficulties encountered. The positive points of the manual, the difficulties of adapting the translation, the most interesting and challenging activities and the methodology will be highlighted. The final considerations highlight the limitations identified in this study and propose reflections on the implementation of the RDA. In addition, it will also be demonstrated that for teaching the signature will not be an necessity, which discourages the librarianship courses of this investment.@en ","160729","https://brapci.inf.br/index.php/roboti/v/160729","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/161592"
"HOLANDA, Paulo Marcelo Carvalho; LOURENçO, Cíntia Azevedo","O treinamento e implementação da RDA: olhares e perspectivas@pt-BR","Revista Digital de Biblioteconomia & Ciência da Informação","v. 19","2021","Artigo de Pesquisa</a>","Codigo de catalogacao anglo-americano; Rda; Catalogacao; Treinamento; Cataloguing; Training","Introdução: A RDA anuncia grandes mudanças no processo de catalogação e uma nova maneira de representar os recursos informacionais. O treinamento e a implementação da RDA em bibliotecas requerem grandes esforças dos catalogadores. Este artigo apresenta parte dos resultados de uma dissertação de mestrado. Objetivo: Apontar as principais ações de treinamentos para implementação da RDA desenvolvidos pelos países membros que participaram do seu desenvolvimento, pelas bibliotecas de outros países e identificar as principais preferências de programas, métodos e tópicos de conteúdo para treinamento da RDA pelos catalogadores da UFMG. Método: Utilizou-se a metodologia de objetivos exploratórios e descritivos e de aspectos quantitativos, a pesquisa bibliográfica, e também, como instrumento para coleta de dados a entrevista semiestruturada. Resultados: Apontam que o treinamento presencial é o método preferido pelos catalogadores e o conteúdo preferido para treinamento são as mudanças em relação à RDA e AACR2. Conclusão: Ressalta-se que o treinamento é uma etapa importante para a implementação da RDA e que a identificação de preferencias de treinamentos por parte das instituições é uma passo primordial para definir bem que instrumentos de treinamentos serão utilizados e introduzidos ao pessoal de suas comunidades de informação.@pt-BR Introduction: The RDA announces major changes in the cataloging process and a new way of representing information resources. The training and implementation of RDA in libraries requires great efforts from cataloguers. This article presents part of the results of a master´s thesis. Objective: To point out the main training actions for the implementation of the RDA developed by the member countries that participated in its development, by the libraries of other countries and to identify the main preferences for programs, methods and content topics for training the RDA by the UFMG cataloguers. Method: It was used the methodology of exploratory and descriptive objectives and quantitative aspects, the bibliographical research, and also, as an instrument for data collection, the semi-structured interview. Results: They point out that face-to-face training is the preferred method by cataloguers and the preferred content for training are changes in relation to RDA and AACR2. Conclusion: It is noteworthy that training is an important step for the implementation of the RDA and that the identification of training preferences by the institutions is an essential step to define well which training instruments will be used and introduced to the staff of their communities of information.@en ","162369","https://brapci.inf.br/index.php/res/v/162369","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/164115"
"FARIA, Cleide Vieira de; LOURENçO, Cíntia Azevedo","Regras da norma de catalogação Recurso Descrição e Acesso que podem ser padronizadas na política de catalogação da biblioteca@pt-BR","Revista Brasileira de Biblioteconomia e Documentação","n. 3, v. 15, p. 208-231","2019","Artigo</a>","Resource description and access; Rda; Catalogacao; Politica de catalogacao; Recurso descricao e acesso; Cataloguing; Cataloging policy","Recurso Descrição e Acesso (RDA) é a norma de catalogação elaborado pela American Library Association. No entanto, a forma como algumas regras da norma está configurada - que requerem decisões locais da agência catalogadora, permitem opções, escolhas e ainda o julgamento do catalogador que direciona para elaboração da política de catalogação para implantar o RDA. Desta forma, o presente estudo questiona: quais são as regras do RDA que podem ser padronizadas na política de catalogação em RDA da Instituição? Para resonder a questão, foi realizado uma pesquisa bibliográfica, utilizando como fontes a norma RDA e livros que explicam e discutem a aplicação das regras  da norma. Como limitação do estudo, foram selecionadas 17 regras de descrição. Assim, os resultados da análise consideraram que as regras:  idioma e alfabeto; elementos essenciais; fonte de informação; maiúsculas; pontuações; abreviaturas; indicação de responsabilidade; indicação de responsabilidade de obras colaborativa; indicação de responsabilidade do título principal; extensão; categorização dos recursos (tipo de conteúdo; tipo de mídia e tipo de suporte), respodem aos requisitos establecidos no estudo, portanto estão propensas para serem discutidas na política de catalogação em RDA da instituição. Ainda, conforme a análise,  as regras - criação de um novo registro; incorreções; colchetes; indicação de edição; local de publicação; lugar de publicação não identificado - não respondem os requisitos estabelecidos no estudo, sendo assim, não necessitam de ser padronizadas na política de catalogação. Devendo ser seguidas, conforme orientação  da norma RDA.@pt-BR Resource Description and Access (RDA) is the cataloging standard that was released in 2010 to replace the AACR2. Configuring some RDA rules requires local decisions from the cataloging agency or allows options, choices, and cataloger judgment. This aspect of the norm directs towards the elaboration of the cataloging policy to implement the RDA. The present study questions which are the RDA rules that can be standardized in the cataloging policy of the library. In it, bibliographic research was used on primary and secondary sources on the standard and was limited to analyzing 17 RDA rules. The results considered that the rules â€“ Language and Script; RDA Elements; Sources of Information; Capitalization; Punctuation; Abbreviations; Recording Statement of Responsibility; Statement of Responsibility Relating to Title Proper; Statement Naming More Than One Agent; Extent (Exact Number of Units Not Readily Ascertainable; Single Volume with Unnumbered Pages, Leaves, or Columns) ; Content Type; Media Type; Carrier Type - are prone to be discussed in the cataloging policy of the library. The rules of the RDA - Changes Requiring a New Description; Inaccuracies; ISBD Punctuation; Recording Edition Statement; Publication Statement e Place of Publication Not Identified in the Manifestation - were considered not prone to standardization in the cataloging policy and should be followed as directed by the RDA. It is concluded that the cataloging policy is an important document, being essential for the cataloging with the RDA.@en ","121389","https://brapci.inf.br/index.php/res/v/121389","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/121395"
"MACHADO, Raildo de Sousa; ZAFALON, Zaira Regina","Resource Description and Access (RDA): mapeamento sistemático de literatura@pt-BR","Revista Brasileira de Biblioteconomia e Documentação","v. 16, p. 1-19","2020","Artigo</a>","Rda; Catalogacao descritiva; Mapeamento sistematico de literatura; Resource description and access (rda)","Desenvolvido para ser o sucessor da edição revisada do Código Anglo-Americano de Catalogação, 2. edição, (AACR2), o Resource Description and Access (RDA) tem sido objeto de testes, treinamentos, implementação e de estudos científicos. Identificar a produção científica sobre o RDA, com critérios adotados nos processos de mapeamento sistemático de literatura, mostra a dimensão e a diversidade de pesquisas que tem sido desenvolvidas sobre o padrão RDA. Ao considerar esse contexto, questiona-se sobre a contribuição científica nas discussões sobre o RDA. Como objetivo geral busca-se analisar a produção científica sobre o RDA e consideram-se, como objetivos específicos que orientam o desenvolvimento deste trabalho: [1] definir as bases de dados a serem analisadas sobre a temática da pesquisa; [2] definir o protocolo de mapeamento sistemático de literatura; [3] analisar a evolução temporal, os autores, os periódicos e os temas abordados; [4] avaliar a produção científica sobre o RDA. Os procedimentos metodológicos adotados para o desenvolvimento desta pesquisa, de natureza aplicada, caracterizam-se pela abordagem mista, com procedimentos de pesquisa bibliográfica, e o incremento da análise de resultados a partir dos dados identificados. Tais resultados foram alcançados com uso de bases de dados científicas e softwares como StArt e Excel, e a apresentação dos resultados em esquemas e gráficos e da análise de conteúdo.@pt-BR ","135272","https://brapci.inf.br/index.php/res/v/135272","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/135466"
"MéNDEZ, Stevens Ramírez","¿Es necesario cambiar las Reglas de Catalogación Angloamericanas (RCAA) por Recursos, Descripción y Acceso (RDA)?@es-ES","e-Ciencias de la Información (Costa Rica)","n. jun., p. 1-19","2015","Ensayos</a>","Analisis documental; Descripcion bibliografica; Recursos; Bibliographic description; Catalogacion; Reglas de catalogacion angloamericanas; Descripcion y acceso; Document analysis; Cataloguing; Anglo american cataloguing rules; Resource; Description and access","Mientras se sigue discutiendo la implementación de la estructura de Recursos, Descripción y Acceso (RDA) en los procesos de descripción bibliográfica, es importante conocer por qué surgieron, en su momento, las Reglas de Catalogación Angloamericanas (RCAA), qué tan funcionales han sido hasta la fecha y cómo el avance tecnológico ha afectado su uso; es decir, ¿se adaptan las RCAA al presente? Por otra parte, es necesario estar al tanto de los cambios que trae consigo RDA, qué aspectos justifican migrar de RCAA a este nuevo formato y qué tan adecuada está RDA a las necesidades actuales. En esta revisión también se abarcan algunas diferencias entre RCAA y RDA, y se muestran razones por las que se ha vuelto una necesidad implementar un nuevo código de catalogación. Al término de la lectura, se concluye que las RCAA han sido un sistema de descripción bibliográfica importante, pero que RDA representa el cambio necesario para mejorar el procesamiento técnico de la información y su recuperación.@es-ES While debate on the implementation of RDA in bibliographic description processes continues, it is important to know why AACR appeared, how functional they have been up to now, and how technological progress has affected their use; that is to say, can AACR adapt to the present? On the other hand, we must be aware of the changes brought by RDA, which aspects justify migrating from AACR to this new format, and how adequate is RDA structure to current needs. In this review some of the differences between AACR and RDA are covered as well as the main reasons why it is necessary to implement a new cataloging code. By the end of the paper it is stated that AACR has been a very useful  bibliographic description system but RDA represents the change required in order to improve the technical proccessing of information and its recovery rate.@en ","66540","https://brapci.inf.br/index.php/res/v/66540","https://brapci.inf.br/https://brapci.inf.br/index.php/res/download/89816"
